timestamp,heart_rate,enhanced_speed,cadence,power,position_lat,position_long,distance,temperature,fractional_cadence,enhanced_altitude,enhanced_respiration_rate,accumulated_power,unknown_field_0,unknown_field_1,unknown_field_4,unknown_field_8,unknown_field_90,unknown_field_134,unknown_field_137,unknown_field_138,unknown_field_144
Timestamp(2025-03-11T15:24:53+01:00),112,,83,188,,,0.0000,SInt8(19),0.0000,561.4000,25.5500,6295,,,,,,100,100,100,112
Timestamp(2025-03-11T15:24:54+01:00),111,,83,179,,,0.0000,SInt8(19),0.0000,561.4000,25.5500,6474,,,,,,100,100,100,111
Timestamp(2025-03-11T15:24:55+01:00),111,,84,249,,,0.0000,SInt8(19),0.0000,561.4000,25.5500,6723,,,,,,100,100,100,111
Timestamp(2025-03-11T15:24:56+01:00),111,,85,175,,,0.0000,SInt8(19),0.0000,561.6000,25.5500,6898,,,,,,100,100,100,111
Timestamp(2025-03-11T15:24:57+01:00),111,,85,176,,,0.0000,SInt8(19),0.0000,561.6000,25.5500,7074,,,,,,100,100,100,111
Timestamp(2025-03-11T15:24:58+01:00),111,,85,171,,,0.0000,SInt8(19),0.0000,561.6000,25.5500,7245,,,,,,100,100,100,111
Timestamp(2025-03-11T15:24:59+01:00),112,,85,169,,,0.0000,SInt8(19),0.0000,561.6000,25.3000,7414,,,,,,100,100,100,112
Timestamp(2025-03-11T15:25:00+01:00),113,,86,153,,,0.0000,SInt8(19),0.0000,561.8000,25.3000,7567,,,,,,100,100,100,113
Timestamp(2025-03-11T15:25:01+01:00),113,,85,170,,,0.0000,SInt8(19),0.0000,561.8000,25.3000,7737,,,,,,100,100,100,113
Timestamp(2025-03-11T15:25:02+01:00),113,,85,179,,,0.0000,SInt8(19),0.0000,561.8000,25.3000,7916,,,,,,100,100,100,113
Timestamp(2025-03-11T15:25:03+01:00),115,,85,193,,,0.0000,SInt8(19),0.0000,562.0000,25.1300,8109,,,,,,100,100,100,115
Timestamp(2025-03-11T15:25:04+01:00),115,,85,194,,,0.0000,SInt8(19),0.0000,562.0000,25.1300,8303,,,,,,100,100,100,115
Timestamp(2025-03-11T15:25:05+01:00),116,,85,185,,,0.0000,SInt8(19),0.0000,562.0000,25.1300,8488,,,,,,100,100,100,116
Timestamp(2025-03-11T15:25:06+01:00),117,,85,240,,,0.0000,SInt8(19),0.0000,562.2000,25.1300,8728,,,,,,100,100,100,117
Timestamp(2025-03-11T15:25:07+01:00),117,,85,189,,,0.0000,SInt8(19),0.0000,562.4000,25.1300,8917,,,,,,,100,100,117
Timestamp(2025-03-11T15:25:08+01:00),117,,85,213,,,0.0000,SInt8(19),0.0000,562.4000,25.1300,9130,,,,,,100,100,100,117
Timestamp(2025-03-11T15:25:09+01:00),118,,85,221,,,0.0000,SInt8(19),0.0000,562.6000,25.8100,9351,,,,,,100,100,100,118
Timestamp(2025-03-11T15:25:10+01:00),119,,85,191,,,0.0000,SInt8(19),0.0000,562.6000,25.8100,9542,,,,,,100,100,100,119
Timestamp(2025-03-11T15:25:11+01:00),119,,85,187,,,0.0000,SInt8(19),0.0000,562.6000,25.8100,9729,,,,,,100,100,100,119
Timestamp(2025-03-11T15:25:12+01:00),120,,85,178,,,0.0000,SInt8(19),0.0000,562.8000,25.8100,9907,,,,,,100,100,100,120
Timestamp(2025-03-11T15:25:13+01:00),120,,85,183,,,0.0000,SInt8(19),0.0000,562.8000,25.8100,10090,,,,,,100,100,100,120
Timestamp(2025-03-11T15:25:14+01:00),120,,86,190,,,0.0000,SInt8(19),0.0000,562.8000,26.2600,10280,,,,,,100,100,100,120
Timestamp(2025-03-11T15:25:15+01:00),121,,86,218,,,0.0000,SInt8(19),0.0000,563.0000,26.2600,10498,,,,,,100,100,100,121
Timestamp(2025-03-11T15:25:16+01:00),121,,86,193,,,0.0000,SInt8(19),0.0000,563.0000,26.2600,10691,,,,,,100,100,100,121
Timestamp(2025-03-11T15:25:17+01:00),122,,87,210,,,0.0000,SInt8(19),0.0000,563.0000,26.2600,10901,,,,,,100,100,100,122
Timestamp(2025-03-11T15:25:18+01:00),122,,88,183,,,0.0000,SInt8(19),0.0000,563.2000,26.2600,11084,,,,,,100,100,100,122
Timestamp(2025-03-11T15:25:19+01:00),123,,87,187,,,0.0000,SInt8(19),0.0000,563.2000,25.3800,11271,,,,,,100,100,100,123
